filter_key,filter_name,signal_count,monthly_signals,1d_avg_return,1d_median_return,1d_std_return,1d_win_rate,1d_max_return,1d_mdd,1d_profit_factor,1d_sharpe,3d_avg_return,3d_median_return,3d_std_return,3d_win_rate,3d_max_return,3d_mdd,3d_profit_factor,3d_sharpe,5d_avg_return,5d_median_return,5d_std_return,5d_win_rate,5d_max_return,5d_mdd,5d_profit_factor,5d_sharpe,10d_avg_return,10d_median_return,10d_std_return,10d_win_rate,10d_max_return,10d_mdd,10d_profit_factor,10d_sharpe,1d_alpha,1d_alpha_pct,3d_alpha,3d_alpha_pct,5d_alpha,5d_alpha_pct,10d_alpha,10d_alpha_pct
S0_Baseline,Baseline (필터없음),373,11.66,0.8718,0.1919,7.7642,52.55,29.98,-29.9,1.196,1.783,1.0548,-0.3175,10.9362,48.79,59.0,-31.99,1.352,0.884,1.8931,0.1,14.2712,50.4,76.83,-37.07,1.409,0.942,2.5804,-1.2242,21.3694,45.8,203.6,-38.29,1.715,0.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1_FI_Only,금융투자(+) 단독,184,5.94,1.5277,0.1548,8.3273,52.17,29.98,-29.9,1.514,2.912,1.6407,0.1686,11.3813,51.91,47.35,-31.99,1.38,1.321,2.9306,0.638,15.3281,51.91,76.83,-37.07,1.569,1.357,2.4897,-1.2403,19.8663,45.9,88.77,-37.28,1.668,0.629,0.6559,75.2,0.5859000000000001,55.5,1.0375,54.8,-0.0907,-3.5
S2_Ind_Sell_Only,개인(-) 단독,234,7.55,0.9838,0.1624,7.0293,52.99,29.96,-15.3,1.311,2.222,0.9656,-0.2439,9.7568,48.93,47.35,-25.72,1.349,0.907,2.0473,0.1,13.4095,50.21,56.29,-27.05,1.491,1.084,2.0813,-1.3853,18.1232,44.59,68.27,-37.28,1.699,0.576,0.11199999999999999,12.8,-0.08919999999999995,-8.5,0.1541999999999999,8.1,-0.4990999999999999,-19.3
C1_FI_IndSell,금융투자(+) + 개인(-),134,4.47,1.1985,0.1284,7.2286,50.75,29.96,-13.25,1.526,2.632,0.8301,-0.3236,9.8373,48.12,47.35,-25.72,1.346,0.773,2.4546,0.1376,13.8243,51.13,40.1,-27.05,1.523,1.261,1.6421,-2.4187,18.9008,43.61,68.27,-37.28,1.623,0.436,0.3266999999999999,37.5,-0.2247,-21.3,0.5615000000000001,29.7,-0.9383000000000001,-36.4
C2_FI_PensionSell,금융투자(+) + 연기금(-),52,2.08,1.014,0.5202,7.0253,55.77,14.84,-18.24,1.146,2.291,0.8743,0.5779,9.4733,57.69,29.58,-23.05,0.944,0.846,2.0921,-0.7981,14.719,48.08,35.65,-23.59,1.566,1.009,3.4228,-2.2513,21.7832,44.23,56.07,-37.28,1.965,0.789,0.1422,16.3,-0.1805,-17.1,0.19899999999999984,10.5,0.8424,32.6
C3_FI_PensionBuy,금융투자(+) + 연기금(+),90,3.6,1.2714,-0.0951,7.7308,47.78,29.98,-13.25,1.693,2.611,1.2516,-0.7764,10.708,46.07,34.77,-25.72,1.575,1.071,2.9227,1.4458,14.1293,57.3,53.44,-27.05,1.334,1.469,1.7278,-0.96,16.9151,46.07,55.71,-34.93,1.506,0.513,0.39960000000000007,45.8,0.19680000000000009,18.7,1.0295999999999998,54.4,-0.8526,-33.0
C4_IndSell_PensionSell,개인(-) + 연기금(-),62,2.58,1.9062,0.9623,6.8751,59.68,29.95,-9.47,1.566,4.401,0.9992,-1.2407,10.0394,45.16,35.21,-15.77,1.562,0.912,2.3541,-1.251,14.474,46.77,46.45,-18.01,1.76,1.155,3.8483,-2.1785,21.2523,43.33,68.07,-37.28,2.251,0.909,1.0343999999999998,118.7,-0.05559999999999998,-5.3,0.46099999999999985,24.4,1.2679,49.1
C5_FI_ForeignBuy,금융투자(+) + 외국인(+),120,4.14,0.5524,-0.0951,6.4441,47.5,29.96,-13.25,1.349,1.361,0.9406,-0.2439,9.1756,48.74,47.35,-15.28,1.38,0.94,2.3725,0.1,13.2379,50.42,40.1,-18.96,1.588,1.272,1.5398,-2.8933,18.0044,41.18,68.27,-25.43,1.791,0.429,-0.3194,-36.6,-0.11419999999999997,-10.8,0.47940000000000005,25.3,-1.0406,-40.3
C6_FI_IndSell_PensionSell,금융투자(+) + 개인(-) + 연기금(-),34,1.62,1.1741,0.1548,6.0849,55.88,14.84,-9.47,1.324,3.063,0.5094,-0.342,7.9651,50.0,20.62,-15.77,1.183,0.586,2.5257,-1.3506,14.6138,47.06,35.65,-18.01,1.776,1.227,3.5128,-2.4089,22.7039,44.12,56.07,-37.28,1.964,0.777,0.3022999999999999,34.7,-0.5454,-51.7,0.6326,33.4,0.9323999999999999,36.1
C7_FI_IndSell_ForeignBuy,금융투자(+) + 개인(-) + 외국인(+),114,3.93,0.6824,0.0,6.4254,48.25,29.96,-13.25,1.392,1.686,0.9161,-0.2439,8.8622,48.67,47.35,-14.09,1.384,0.947,2.5992,0.1,13.3754,50.44,40.1,-18.96,1.655,1.38,1.8433,-2.8933,18.3497,41.59,68.27,-25.43,1.833,0.504,-0.1894,-21.7,-0.13869999999999993,-13.1,0.7061000000000002,37.3,-0.7371000000000001,-28.6
