매수일자,종목코드,종목명,시장,수급필터,진입가(종가),당일수익률(%),VR,10일후수익률(%),20일후수익률(%)
2025-01-02,466100,클로봇,KOSDAQ,금융투자 10D SELL,11190,14.18,4.57,5.45,30.29
2025-01-02,388720,유일로보틱스,KOSDAQ,개인 30D BUY,35000,9.2,8.14,1.0,-0.43
2025-01-02,096530,씨젠,KOSDAQ,금융투자 10D SELL,24200,7.08,4.75,2.48,-1.03
2025-01-02,096530,씨젠,KOSDAQ,연기금 30D SELL,24200,7.08,4.75,2.48,-1.03
2025-01-02,098460,고영,KOSDAQ,금융투자 10D SELL,8890,9.08,3.88,3.15,99.21
2025-01-02,466100,클로봇,KOSDAQ,개인 30D BUY,11190,14.18,4.57,5.45,30.29
2025-01-02,437730,삼현,KOSDAQ,연기금 30D SELL,10310,8.41,3.9,-2.81,26.67
2025-01-02,437730,삼현,KOSDAQ,개인 30D BUY,10310,8.41,3.9,-2.81,26.67
2025-01-02,437730,삼현,KOSDAQ,금융투자 10D SELL,10310,8.41,3.9,-2.81,26.67
2025-01-02,090360,로보스타,KOSDAQ,개인 30D BUY,25900,8.37,11.15,2.32,14.67
2025-01-02,098460,고영,KOSDAQ,개인 30D BUY,8890,9.08,3.88,3.15,99.21
2025-01-03,336570,원텍,KOSDAQ,연기금 30D SELL,5330,12.68,3.82,11.63,0.19
2025-01-03,336570,원텍,KOSDAQ,금융투자 10D SELL,5330,12.68,3.82,11.63,0.19
2025-01-03,336570,원텍,KOSDAQ,개인 30D BUY,5330,12.68,3.82,11.63,0.19
2025-01-03,095610,테스,KOSDAQ,금융투자 10D SELL,16400,7.75,4.55,12.26,36.28
2025-01-03,214370,케어젠,KOSDAQ,연기금 30D SELL,31750,6.54,3.12,-9.45,6.93
2025-01-06,102710,이엔에프테크놀로지,KOSDAQ,연기금 30D SELL,18790,9.12,4.15,11.5,26.4
2025-01-06,102710,이엔에프테크놀로지,KOSDAQ,개인 30D BUY,18790,9.12,4.15,11.5,26.4
2025-01-06,067310,하나마이크론,KOSDAQ,금융투자 10D SELL,11100,12.46,6.09,-3.96,-0.18
2025-01-06,067310,하나마이크론,KOSDAQ,연기금 30D SELL,11100,12.46,6.09,-3.96,-0.18
2025-01-06,319660,피에스케이,KOSDAQ,금융투자 10D SELL,19070,7.56,3.06,-0.37,1.42
2025-01-06,096530,씨젠,KOSDAQ,개인 30D BUY,27850,13.67,10.64,-13.29,-16.88
2025-01-06,096530,씨젠,KOSDAQ,금융투자 10D SELL,27850,13.67,10.64,-13.29,-16.88
2025-01-08,161580,필옵틱스,KOSDAQ,개인 30D BUY,22900,10.1,3.52,36.24,106.77
2025-01-08,036810,에프에스티,KOSDAQ,금융투자 10D SELL,18167,9.57,4.23,2.62,9.06
2025-01-08,067310,하나마이크론,KOSDAQ,금융투자 10D SELL,11470,7.4,3.48,-3.49,0.26
2025-01-08,161580,필옵틱스,KOSDAQ,금융투자 10D SELL,22900,10.1,3.52,36.24,106.77
2025-01-08,183300,코미코,KOSDAQ,연기금 30D SELL,43100,12.53,4.35,-1.28,2.44
2025-01-08,161580,필옵틱스,KOSDAQ,연기금 30D SELL,22900,10.1,3.52,36.24,106.77
2025-01-08,036810,에프에스티,KOSDAQ,연기금 30D SELL,18167,9.57,4.23,2.62,9.06
2025-01-08,166090,하나머티리얼즈,KOSDAQ,금융투자 10D SELL,27200,10.12,3.02,-1.84,7.35
2025-01-08,232140,와이씨,KOSDAQ,개인 30D BUY,12250,14.49,5.11,-1.96,-3.35
2025-01-08,232140,와이씨,KOSDAQ,금융투자 10D SELL,12250,14.49,5.11,-1.96,-3.35
2025-01-08,183300,코미코,KOSDAQ,개인 30D BUY,43100,12.53,4.35,-1.28,2.44
2025-01-08,183300,코미코,KOSDAQ,금융투자 10D SELL,43100,12.53,4.35,-1.28,2.44
2025-01-09,388720,유일로보틱스,KOSDAQ,개인 30D BUY,35700,5.0,3.82,-8.26,29.55
2025-01-09,323280,태성,KOSDAQ,개인 30D BUY,28650,9.14,3.96,16.06,9.77
2025-01-09,323280,태성,KOSDAQ,금융투자 10D SELL,28650,9.14,3.96,16.06,9.77
2025-01-10,437730,삼현,KOSDAQ,금융투자 10D SELL,10410,10.39,4.72,7.11,27.95
2025-01-10,437730,삼현,KOSDAQ,연기금 30D SELL,10410,10.39,4.72,7.11,27.95
2025-01-10,437730,삼현,KOSDAQ,개인 30D BUY,10410,10.39,4.72,7.11,27.95
2025-01-13,336570,원텍,KOSDAQ,개인 30D BUY,5840,8.96,3.72,-5.31,3.08
2025-01-13,115180,큐리언트,KOSDAQ,연기금 30D SELL,5180,7.92,5.48,-4.44,-2.51
2025-01-13,115180,큐리언트,KOSDAQ,금융투자 10D SELL,5180,7.92,5.48,-4.44,-2.51
2025-01-13,336570,원텍,KOSDAQ,금융투자 10D SELL,5840,8.96,3.72,-5.31,3.08
2025-01-14,060280,큐렉소,KOSDAQ,개인 30D BUY,8700,18.05,13.63,4.48,11.38
2025-01-14,078600,대주전자재료,KOSDAQ,연기금 30D SELL,95000,18.31,6.02,-0.74,15.58
2025-01-14,131970,두산테스나,KOSDAQ,연기금 30D SELL,29350,11.81,5.59,-8.18,9.71
2025-01-14,131970,두산테스나,KOSDAQ,개인 30D BUY,29350,11.81,5.59,-8.18,9.71
2025-01-14,078600,대주전자재료,KOSDAQ,금융투자 10D SELL,95000,18.31,6.02,-0.74,15.58
2025-01-14,131970,두산테스나,KOSDAQ,금융투자 10D SELL,29350,11.81,5.59,-8.18,9.71
2025-01-15,067310,하나마이크론,KOSDAQ,개인 30D BUY,11460,6.31,3.61,-14.14,4.8
2025-01-15,067310,하나마이크론,KOSDAQ,금융투자 10D SELL,11460,6.31,3.61,-14.14,4.8
