Period,Investor,Duration,Threshold,Direction,Signal_Count,Avg_Return_10D,Avg_Return_20D,Win_Rate_10D,Win_Rate_20D,Median_Return_20D,Std_Return_20D,Composite_Score
IS,개인,1,-5.0,SELL,2872,1.2737065816414617,2.127065651943606,46.58774373259053,44.60306406685237,-1.7972354047092576,22.070116082935193,7.554894709429383
OOS,개인,1,-5.0,SELL,1071,4.634309197203308,8.561465630125431,53.163444639718804,56.209150326797385,2.7203482045701888,24.718116111093856,33.57695998846726
IS,개인,1,-4.5,SELL,2872,1.2737065816414617,2.127065651943606,46.58774373259053,44.60306406685237,-1.7972354047092576,22.070116082935193,7.554894709429383
OOS,개인,1,-4.5,SELL,1071,4.634309197203308,8.561465630125431,53.163444639718804,56.209150326797385,2.7203482045701888,24.718116111093856,33.57695998846726
IS,개인,1,-4.0,SELL,2872,1.2737065816414617,2.127065651943606,46.58774373259053,44.60306406685237,-1.7972354047092576,22.070116082935193,7.554894709429383
OOS,개인,1,-4.0,SELL,1071,4.634309197203308,8.561465630125431,53.163444639718804,56.209150326797385,2.7203482045701888,24.718116111093856,33.57695998846726
IS,개인,1,-3.5,SELL,2872,1.2737065816414617,2.127065651943606,46.58774373259053,44.60306406685237,-1.7972354047092576,22.070116082935193,7.554894709429383
OOS,개인,1,-3.5,SELL,1071,4.634309197203308,8.561465630125431,53.163444639718804,56.209150326797385,2.7203482045701888,24.718116111093856,33.57695998846726
IS,개인,1,-3.0,SELL,2872,1.2737065816414617,2.127065651943606,46.58774373259053,44.60306406685237,-1.7972354047092576,22.070116082935193,7.554894709429383
OOS,개인,1,-3.0,SELL,1071,4.634309197203308,8.561465630125431,53.163444639718804,56.209150326797385,2.7203482045701888,24.718116111093856,33.57695998846726
IS,개인,1,-2.5,SELL,2872,1.2737065816414617,2.127065651943606,46.58774373259053,44.60306406685237,-1.7972354047092576,22.070116082935193,7.554894709429383
OOS,개인,1,-2.5,SELL,1071,4.634309197203308,8.561465630125431,53.163444639718804,56.209150326797385,2.7203482045701888,24.718116111093856,33.57695998846726
IS,개인,1,-2.0,SELL,2872,1.2737065816414617,2.127065651943606,46.58774373259053,44.60306406685237,-1.7972354047092576,22.070116082935193,7.554894709429383
OOS,개인,1,-2.0,SELL,1071,4.634309197203308,8.561465630125431,53.163444639718804,56.209150326797385,2.7203482045701888,24.718116111093856,33.57695998846726
IS,개인,1,-1.5,SELL,2872,1.2737065816414617,2.127065651943606,46.58774373259053,44.60306406685237,-1.7972354047092576,22.070116082935193,7.554894709429383
OOS,개인,1,-1.5,SELL,1071,4.634309197203308,8.561465630125431,53.163444639718804,56.209150326797385,2.7203482045701888,24.718116111093856,33.57695998846726
IS,개인,1,-1.0,SELL,2872,1.2737065816414617,2.127065651943606,46.58774373259053,44.60306406685237,-1.7972354047092576,22.070116082935193,7.554894709429383
OOS,개인,1,-1.0,SELL,1071,4.634309197203308,8.561465630125431,53.163444639718804,56.209150326797385,2.7203482045701888,24.718116111093856,33.57695998846726
IS,개인,1,-0.5,SELL,2872,1.2737065816414617,2.127065651943606,46.58774373259053,44.60306406685237,-1.7972354047092576,22.070116082935193,7.554894709429383
OOS,개인,1,-0.5,SELL,1071,4.634309197203308,8.561465630125431,53.163444639718804,56.209150326797385,2.7203482045701888,24.718116111093856,33.57695998846726
IS,개인,1,0.0,BUY,1007,2.471812752786217,3.9951535228395083,47.368421052631575,47.666335650446875,-1.076923076923075,25.362979865355527,13.169911530701023
OOS,개인,1,0.0,BUY,298,5.597653433989792,8.771069040942612,51.28205128205128,53.355704697986575,1.4998228555682447,30.863457084268234,26.677310333043504
IS,개인,1,0.5,BUY,1007,2.471812752786217,3.9951535228395083,47.368421052631575,47.666335650446875,-1.076923076923075,25.362979865355527,13.169911530701023
OOS,개인,1,0.5,BUY,298,5.597653433989792,8.771069040942612,51.28205128205128,53.355704697986575,1.4998228555682447,30.863457084268234,26.677310333043504
IS,개인,1,1.0,BUY,1007,2.471812752786217,3.9951535228395083,47.368421052631575,47.666335650446875,-1.076923076923075,25.362979865355527,13.169911530701023
OOS,개인,1,1.0,BUY,298,5.597653433989792,8.771069040942612,51.28205128205128,53.355704697986575,1.4998228555682447,30.863457084268234,26.677310333043504
IS,개인,1,1.5,BUY,1007,2.471812752786217,3.9951535228395083,47.368421052631575,47.666335650446875,-1.076923076923075,25.362979865355527,13.169911530701023
OOS,개인,1,1.5,BUY,298,5.597653433989792,8.771069040942612,51.28205128205128,53.355704697986575,1.4998228555682447,30.863457084268234,26.677310333043504
IS,개인,1,2.0,BUY,1007,2.471812752786217,3.9951535228395083,47.368421052631575,47.666335650446875,-1.076923076923075,25.362979865355527,13.169911530701023
OOS,개인,1,2.0,BUY,298,5.597653433989792,8.771069040942612,51.28205128205128,53.355704697986575,1.4998228555682447,30.863457084268234,26.677310333043504
IS,개인,1,2.5,BUY,1007,2.471812752786217,3.9951535228395083,47.368421052631575,47.666335650446875,-1.076923076923075,25.362979865355527,13.169911530701023
OOS,개인,1,2.5,BUY,298,5.597653433989792,8.771069040942612,51.28205128205128,53.355704697986575,1.4998228555682447,30.863457084268234,26.677310333043504
IS,개인,1,3.0,BUY,1007,2.471812752786217,3.9951535228395083,47.368421052631575,47.666335650446875,-1.076923076923075,25.362979865355527,13.169911530701023
OOS,개인,1,3.0,BUY,298,5.597653433989792,8.771069040942612,51.28205128205128,53.355704697986575,1.4998228555682447,30.863457084268234,26.677310333043504
IS,개인,1,3.5,BUY,1007,2.471812752786217,3.9951535228395083,47.368421052631575,47.666335650446875,-1.076923076923075,25.362979865355527,13.169911530701023
OOS,개인,1,3.5,BUY,298,5.597653433989792,8.771069040942612,51.28205128205128,53.355704697986575,1.4998228555682447,30.863457084268234,26.677310333043504
IS,개인,1,4.0,BUY,1007,2.471812752786217,3.9951535228395083,47.368421052631575,47.666335650446875,-1.076923076923075,25.362979865355527,13.169911530701023
OOS,개인,1,4.0,BUY,298,5.597653433989792,8.771069040942612,51.28205128205128,53.355704697986575,1.4998228555682447,30.863457084268234,26.677310333043504
IS,개인,1,4.5,BUY,1007,2.471812752786217,3.9951535228395083,47.368421052631575,47.666335650446875,-1.076923076923075,25.362979865355527,13.169911530701023
