Year,Date,Code,Name,Strategy,Priority,VR,Change,Quality_Score,Expected_Return,Expected_WinRate,Return,Win
2021,2021-09-01,000100,유한양행,A-Base-Premium,3,3.329764612823779,5.165589735093242,8,10.0,52.0,-8.741925884432932,False
2022,2022-04-08,000100,유한양행,Pension-SELL,2,3.673007414751017,5.001977438369837,8,11.23,53.0,-4.103667832481395,False
2023,2023-07-21,000100,유한양행,A-Base-Premium,3,9.25875640439865,11.481223922114047,12,10.0,52.0,10.29879608258999,True
2023,2023-09-11,000100,유한양행,A-Base-Premium,3,3.117602273353371,8.119954190054719,9,10.0,52.0,-5.50673466718975,False
2024,2024-05-17,000100,유한양행,A-Base-Premium,3,3.0360800852796057,7.202216066481995,9,10.0,52.0,-1.5503875968992276,False
2024,2024-06-03,000100,유한양행,Pension-SELL,2,6.944092625200435,6.082036775106082,9,11.23,53.0,2.6666666666666616,True
2024,2024-07-05,000100,유한양행,A-Base-Premium,3,6.15015848854253,12.015018773466833,12,10.0,52.0,1.452513966480451,True
2024,2024-07-12,000100,유한양행,A-Base-Premium,3,3.1960895228801647,7.840909090909092,8,10.0,52.0,-6.427818756585879,False
2024,2024-08-23,000100,유한양행,Pension-SELL,2,5.554410511549142,11.85729275970619,12,11.23,53.0,40.24390243902438,True
2024,2024-08-28,000100,유한양행,Pension-SELL,2,4.764435310595628,20.23070097604259,11,11.23,53.0,5.239852398523981,True
2025,2025-07-17,000100,유한양행,A-Base-Premium,3,8.464002351010972,17.06896551724138,12,10.0,52.0,-15.758468335787922,False
2021,2021-02-03,000120,CJ대한통운,A-Base-Premium,3,3.826694612311247,7.365439093484419,9,10.0,52.0,-11.345646437994729,False
2021,2021-06-16,000120,CJ대한통운,A-Base-Premium,3,4.062407226571617,5.105105105105105,9,10.0,52.0,4.857142857142849,True
2022,2022-03-02,000120,CJ대한통운,A-Base-Premium,3,3.164189348206905,5.220883534136546,8,10.0,52.0,-1.1450381679389277,False
2022,2022-08-09,000120,CJ대한통운,A-Base-Premium,3,3.429734246132284,5.150214592274678,8,10.0,52.0,-7.346938775510203,False
2023,2023-08-04,000120,CJ대한통운,A-Base-Premium,3,3.397520658744684,10.441767068273093,10,10.0,52.0,0.0,False
2023,2023-09-18,000120,CJ대한통운,A-Base-Premium,3,4.18883941668183,7.268170426065162,10,10.0,52.0,-13.200934579439249,False
2023,2023-11-17,000120,CJ대한통운,A-Base-Premium,3,6.009272101919543,9.386733416770964,11,10.0,52.0,35.24027459954233,True
