Year,Strategy,Signals,Avg_Return,Median_Return,Win_Rate,Std,Sharpe
2021,전체,399,3.0256362162172885,-2.1739130434782594,43.609022556390975,23.54523568943927,0.1285031186829179
2021,S-Tactical,13,37.674622015306724,2.148328635357455,53.84615384615385,66.42650618746097,0.5671624804258995
2021,Pension-SELL,71,3.9397670674131997,-3.4343434343434343,39.436619718309856,30.988063206755797,0.12713821580673296
2021,A-Base-Premium,315,1.389635880271027,-2.0319303338171224,44.12698412698413,16.35249788398049,0.08498003730869554
2022,전체,256,-4.0554758546958745,-4.776394663295841,31.640625,14.403944126892402,-0.2815531509265045
2022,S-Tactical,8,-11.2523069902023,-8.900395074894561,25.0,11.336828935939236,-0.9925444808054754
2022,Pension-SELL,62,-0.8119031696072214,-4.020337853248574,35.483870967741936,17.674537996541392,-0.04593631639854445
2022,A-Base-Premium,186,-4.827125625617622,-4.776394663295841,30.64516129032258,13.105179924620664,-0.36833722645416833
2023,전체,489,2.781064487069598,-1.7274472168905983,46.62576687116564,22.374395791604037,0.12429674137226039
2023,S-Tactical,30,-1.4115257580842386,0.22883470328022293,50.0,15.791888289028858,-0.0893829624583193
2023,Pension-SELL,103,2.1754693140542445,-2.0000000000000018,44.66019417475729,22.654005630324434,0.09603022748180932
2023,A-Base-Premium,356,3.309586987561723,-1.6197719955420742,46.91011235955056,22.769880295733316,0.14534933625373
2024,전체,490,1.5505521386922578,-3.2336001145783944,42.04081632653061,23.70392080324131,0.06541331923789725
2024,S-Tactical,18,-7.3863066226879415,-10.527103018797373,27.77777777777778,14.760973966770473,-0.5003942584897044
2024,Pension-SELL,100,3.8681897803566754,-2.0122688528641355,43.0,27.544379301829913,0.14043481386780393
2024,A-Base-Premium,372,1.3599599170212942,-2.9820954439718994,42.473118279569896,22.86455881646485,0.059478948530683314
2025,전체,680,8.941790080315585,2.6604068857589924,49.85294117647059,28.556923090980604,0.3131216220958956
2025,S-Tactical,20,31.400840378348498,11.122876328777533,60.0,66.00418624071621,0.47574013357016687
2025,Pension-SELL,134,9.384303933241174,3.553703967462696,52.23880597014925,25.131969727930986,0.3734010519204038
2025,A-Base-Premium,526,7.9751908737316555,1.925722145804687,48.85931558935361,26.823736566108686,0.2973184162495902
