Holding_Period,Period,Years,Signals,Signals_Per_Week,Avg_Return,Median_Return,Win_Rate,Std,Sharpe,Best_Return,Worst_Return
1D,IS,4,1245,6.0,0.67,0.15,50.9,7.17,0.093,30.0,-29.9
1D,OOS,1,519,10.0,1.35,0.14,51.1,7.02,0.192,30.0,-29.95
3D,IS,4,1245,6.0,1.22,0.12,50.4,11.42,0.107,100.37,-31.99
3D,OOS,1,519,10.0,1.72,0.4,50.9,10.82,0.159,69.31,-40.18
5D,IS,4,1245,6.0,1.76,-0.36,48.4,14.37,0.122,105.69,-44.06
5D,OOS,1,519,10.0,2.98,0.67,51.4,13.79,0.216,94.95,-43.92
10D,IS,4,1245,6.0,2.49,-1.01,47.3,19.32,0.129,203.6,-43.82
10D,OOS,1,519,10.0,5.86,0.56,50.7,21.31,0.275,158.28,-41.87
20D,IS,4,1245,6.0,3.78,-1.78,45.9,26.62,0.142,201.72,-48.83
20D,OOS,1,519,10.0,9.0,1.23,47.8,30.89,0.291,260.74,-43.63
