Holding_Period,Year,Signals,Avg_Return,Win_Rate
1D,2021,218,0.48,52.8
1D,2022,185,-0.68,44.3
1D,2023,409,1.18,53.8
1D,2024,433,0.85,50.1
1D,2025,519,1.35,51.1
3D,2021,218,1.25,49.5
3D,2022,185,-0.64,43.8
3D,2023,409,2.18,53.1
3D,2024,433,1.09,51.0
3D,2025,519,1.72,50.9
5D,2021,218,1.69,45.9
5D,2022,185,-0.65,36.2
5D,2023,409,2.67,51.6
5D,2024,433,1.97,52.0
5D,2025,519,2.98,51.4
10D,2021,218,3.29,49.1
10D,2022,185,-0.4,43.2
10D,2023,409,3.87,49.4
10D,2024,433,2.03,46.2
10D,2025,519,5.86,50.7
20D,2021,218,3.66,45.4
20D,2022,185,-0.83,39.5
20D,2023,409,5.96,47.9
20D,2024,433,3.77,46.9
20D,2025,519,9.0,47.8
