Holding_Period,Period,Total_Trades,Win_Count,Loss_Count,Win_Rate,Avg_Win,Avg_Loss,Median_Win,Median_Loss,Best_Win,Worst_Loss,Win_Loss_Ratio,Profit_Factor,Expected_Value,Total_Profit,Total_Loss
1D,IS,1245,634,611,50.9,5.33,-4.17,3.3,-3.05,30.0,-29.9,1.28,1.33,0.67,3379.44,2549.35
1D,OOS,519,265,253,51.1,6.06,-3.59,3.88,-2.74,30.0,-29.95,1.69,1.77,1.34,1607.17,909.31
3D,IS,1245,627,618,50.4,8.95,-6.62,5.77,-5.48,100.37,-31.99,1.35,1.37,1.22,5608.79,4092.76
3D,OOS,519,264,251,50.9,9.36,-6.3,6.62,-5.57,69.31,-40.18,1.48,1.56,1.66,2469.97,1582.46
5D,IS,1245,603,642,48.4,12.09,-7.94,7.46,-6.42,105.69,-44.06,1.52,1.43,1.76,7288.63,5096.65
5D,OOS,519,267,247,51.4,12.6,-7.43,9.32,-6.61,94.95,-43.92,1.7,1.83,2.88,3364.28,1834.73
10D,IS,1245,589,656,47.3,16.67,-10.23,10.4,-8.8,203.6,-43.82,1.63,1.46,2.49,9816.3,6712.92
10D,OOS,519,263,239,50.7,19.55,-9.22,13.27,-8.18,158.28,-41.87,2.12,2.33,5.36,5142.35,2202.58
20D,IS,1245,571,674,45.9,23.48,-12.9,14.55,-11.5,201.72,-48.83,1.82,1.54,3.78,13409.46,8697.48
20D,OOS,519,248,224,47.8,28.04,-12.09,19.19,-10.97,260.74,-43.63,2.32,2.57,7.09,6953.74,2707.96
