VR,Price,Period,Years,Signals,Signals_Per_Week,Avg_Return,Median_Return,Win_Rate,Std,Sharpe,MDD,Avg_Win,Avg_Loss,Win_Loss_Ratio,Profit_Factor,Expected_Value,Best_Return,Worst_Return
2.0,3,IS,4,8351,40.1,1.33,-0.54,47.2,14.23,0.093,-100.0,11.3,-7.6,1.49,1.33,1.33,242.56,-54.93
2.0,3,OOS,1,2888,55.5,4.45,1.2,52.3,16.89,0.264,-100.0,14.78,-7.68,1.93,2.26,4.07,158.28,-44.31
2.0,5,IS,4,5242,25.2,1.65,-0.45,48.0,15.36,0.107,-100.0,12.42,-8.29,1.5,1.38,1.65,203.6,-54.93
2.0,5,OOS,1,2077,39.9,4.63,0.91,51.0,18.01,0.257,-100.0,16.02,-8.05,1.99,2.22,4.22,158.28,-44.31
2.0,7,IS,4,3139,15.1,1.82,-0.6,47.5,16.55,0.11,-100.0,13.87,-9.07,1.53,1.38,1.82,203.6,-54.93
2.0,7,OOS,1,1353,26.0,5.27,1.2,51.7,19.55,0.27,-99.94,17.46,-8.69,2.01,2.3,4.84,158.28,-44.31
2.0,8,IS,4,2458,11.8,1.98,-0.65,47.9,17.36,0.114,-99.95,14.55,-9.58,1.52,1.4,1.98,203.6,-54.93
2.0,8,OOS,1,1082,20.8,5.89,1.44,52.8,20.43,0.288,-99.83,18.24,-8.93,2.04,2.45,5.41,158.28,-41.87
2.0,9,IS,4,1952,9.4,2.11,-0.73,47.7,18.23,0.116,-99.88,15.44,-10.04,1.54,1.4,2.11,203.6,-54.93
2.0,9,OOS,1,860,16.5,6.19,1.26,52.2,21.06,0.294,-99.7,19.14,-8.99,2.13,2.5,5.7,158.28,-41.87
2.0,10,IS,4,1563,7.5,2.45,-0.73,48.0,19.06,0.129,-99.59,16.35,-10.38,1.58,1.45,2.45,203.6,-47.64
2.0,10,OOS,1,697,13.4,6.19,0.68,50.9,21.62,0.287,-99.62,20.07,-9.2,2.18,2.42,5.71,158.28,-41.87
2.0,12,IS,4,1025,4.9,2.62,-1.07,47.7,20.32,0.129,-99.43,17.73,-11.17,1.59,1.45,2.62,203.6,-43.82
2.0,12,OOS,1,475,9.1,6.34,0.41,50.1,22.8,0.278,-98.83,21.17,-9.5,2.23,2.38,5.87,158.28,-41.87
2.0,15,IS,4,566,2.7,2.28,-1.47,46.1,21.45,0.106,-99.73,18.6,-11.68,1.59,1.36,2.28,203.6,-43.82
2.0,15,OOS,1,262,5.0,6.01,-0.36,47.7,23.09,0.26,-88.11,22.06,-9.91,2.23,2.21,5.34,123.33,-41.87
2.5,3,IS,4,5816,28.0,1.39,-0.7,47.0,14.92,0.093,-100.0,11.84,-7.87,1.51,1.33,1.39,242.56,-54.93
2.5,3,OOS,1,2008,38.6,4.58,1.22,52.4,17.35,0.264,-99.99,15.14,-7.94,1.91,2.26,4.16,158.28,-44.31
2.5,5,IS,4,3977,19.1,1.52,-0.8,46.9,15.74,0.097,-100.0,12.84,-8.47,1.52,1.34,1.52,203.6,-54.93
2.5,5,OOS,1,1562,30.0,4.7,0.91,51.4,18.22,0.258,-99.96,16.09,-8.2,1.96,2.22,4.28,158.28,-44.31
2.5,7,IS,4,2597,12.5,1.76,-0.81,46.7,16.8,0.105,-99.99,14.2,-9.13,1.55,1.36,1.76,203.6,-54.93
2.5,7,OOS,1,1090,21.0,5.4,1.24,52.4,19.7,0.274,-99.73,17.42,-8.73,2.0,2.34,4.97,158.28,-44.31
2.5,8,IS,4,2105,10.1,1.86,-0.88,47.0,17.5,0.106,-99.94,14.77,-9.58,1.54,1.37,1.86,203.6,-54.93
2.5,8,OOS,1,900,17.3,5.7,1.24,52.6,20.31,0.281,-99.56,17.96,-8.83,2.03,2.41,5.25,158.28,-41.87
2.5,9,IS,4,1716,8.2,1.99,-1.01,47.0,18.32,0.109,-99.84,15.55,-10.01,1.55,1.38,1.99,203.6,-54.93
2.5,9,OOS,1,734,14.1,6.0,1.12,52.2,20.81,0.288,-99.44,18.77,-8.92,2.1,2.46,5.53,158.28,-41.87
2.5,10,IS,4,1396,6.7,2.52,-0.99,47.4,19.3,0.131,-99.64,16.73,-10.29,1.63,1.47,2.52,203.6,-43.82
2.5,10,OOS,1,605,11.6,6.03,0.56,50.7,21.46,0.281,-99.06,19.8,-9.13,2.17,2.39,5.55,158.28,-41.87
2.5,12,IS,4,948,4.6,2.76,-1.2,47.5,20.5,0.135,-99.24,18.04,-11.06,1.63,1.47,2.76,203.6,-43.82
2.5,12,OOS,1,421,8.1,6.16,0.41,50.4,22.48,0.274,-98.17,20.54,-9.32,2.2,2.37,5.72,158.28,-41.87
2.5,15,IS,4,537,2.6,2.32,-1.51,45.8,21.49,0.108,-99.63,18.81,-11.61,1.62,1.37,2.32,203.6,-43.82
2.5,15,OOS,1,236,4.5,6.02,0.38,48.7,22.65,0.266,-87.61,21.4,-9.77,2.19,2.25,5.42,123.33,-41.87
3.0,3,IS,4,4253,20.4,1.49,-0.69,47.0,15.44,0.096,-100.0,12.16,-7.99,1.52,1.35,1.49,242.56,-54.3
3.0,3,OOS,1,1449,27.9,4.77,1.0,52.2,17.95,0.266,-99.93,15.86,-8.07,1.96,2.27,4.41,158.28,-44.31
3.0,5,IS,4,3154,15.2,1.55,-0.89,46.4,16.01,0.097,-100.0,13.1,-8.45,1.55,1.34,1.55,203.6,-54.3
3.0,5,OOS,1,1187,22.8,4.97,0.82,51.5,18.82,0.264,-99.71,16.82,-8.29,2.03,2.27,4.64,158.28,-44.31
3.0,7,IS,4,2192,10.5,1.86,-0.74,46.9,16.92,0.11,-99.91,14.3,-9.1,1.57,1.38,1.86,203.6,-54.3
3.0,7,OOS,1,874,16.8,5.75,1.46,53.0,20.03,0.287,-99.41,17.93,-8.77,2.04,2.44,5.37,158.28,-44.31
3.0,8,IS,4,1806,8.7,1.97,-0.77,47.1,17.62,0.112,-99.91,14.9,-9.55,1.56,1.39,1.97,203.6,-43.82
3.0,8,OOS,1,742,14.3,5.84,1.5,53.0,20.37,0.287,-99.32,18.09,-8.84,2.05,2.45,5.42,158.28,-41.87
3.0,9,IS,4,1505,7.2,2.03,-1.01,47.0,18.35,0.111,-99.8,15.56,-9.96,1.56,1.38,2.03,203.6,-43.82
3.0,9,OOS,1,618,11.9,5.93,1.24,52.3,20.76,0.285,-99.05,18.72,-9.0,2.08,2.43,5.49,158.28,-41.87
3.0,10,IS,4,1245,6.0,2.49,-1.01,47.3,19.32,0.129,-99.36,16.67,-10.23,1.63,1.46,2.49,203.6,-43.82
3.0,10,OOS,1,519,10.0,5.86,0.56,50.7,21.31,0.275,-98.42,19.55,-9.22,2.12,2.33,5.36,158.28,-41.87
3.0,12,IS,4,868,4.2,2.78,-1.21,47.4,20.54,0.135,-98.43,18.0,-10.92,1.65,1.48,2.78,203.6,-43.82
3.0,12,OOS,1,366,7.0,6.05,0.41,50.5,22.41,0.27,-96.65,20.19,-9.34,2.16,2.35,5.59,158.28,-41.87
3.0,15,IS,4,500,2.4,2.17,-1.81,45.0,21.25,0.102,-99.86,18.55,-11.24,1.65,1.35,2.17,203.6,-43.82
3.0,15,OOS,1,208,4.0,6.14,0.39,49.0,23.2,0.265,-86.67,21.58,-9.93,2.17,2.26,5.52,123.33,-41.87
3.5,3,IS,4,3250,15.6,1.62,-0.72,46.9,16.21,0.1,-100.0,12.73,-8.19,1.55,1.37,1.62,242.56,-43.82
3.5,3,OOS,1,1071,20.6,4.82,0.82,51.8,18.39,0.262,-99.72,16.29,-8.13,2.0,2.26,4.53,158.28,-44.31
3.5,5,IS,4,2520,12.1,1.73,-0.91,46.4,16.55,0.105,-99.96,13.59,-8.54,1.59,1.38,1.73,203.6,-43.82
3.5,5,OOS,1,898,17.3,4.97,0.58,51.1,19.11,0.26,-99.2,17.14,-8.3,2.06,2.25,4.7,158.28,-44.31
3.5,7,IS,4,1851,8.9,2.01,-0.74,46.9,17.15,0.117,-99.69,14.55,-9.07,1.6,1.42,2.01,203.6,-43.82
