Score_Type,Threshold,Period,Years,Signals,Signals_Per_Week,Avg_Return,Median_Return,Win_Rate,Std,Sharpe,MDD,Profit_Factor,Params
multiply,15,IS,4,5566,26.8,1.66,-0.5,47.8,16.16,0.103,-100.0,1.37,None
multiply,15,OOS,1,2165,41.6,4.68,0.98,51.3,18.23,0.257,-99.99,2.21,None
multiply,20,IS,4,3995,19.2,1.82,-0.7,47.3,17.03,0.107,-100.0,1.39,None
multiply,20,OOS,1,1549,29.8,5.17,1.0,51.6,19.14,0.27,-99.89,2.31,None
multiply,25,IS,4,3073,14.8,1.78,-0.88,46.3,17.61,0.101,-100.0,1.37,None
multiply,25,OOS,1,1194,23.0,5.57,1.11,52.0,19.86,0.28,-99.77,2.38,None
multiply,30,IS,4,2468,11.9,1.99,-0.7,47.4,17.15,0.116,-99.98,1.41,None
multiply,30,OOS,1,961,18.5,5.93,1.47,53.0,20.32,0.292,-99.56,2.49,None
multiply,35,IS,4,2045,9.8,1.95,-0.88,46.9,17.54,0.111,-99.93,1.38,None
multiply,35,OOS,1,801,15.4,5.96,1.18,52.1,20.28,0.294,-98.94,2.48,None
multiply,40,IS,4,1770,8.5,2.07,-0.93,46.9,18.0,0.115,-99.89,1.4,None
multiply,40,OOS,1,681,13.1,6.24,1.41,52.6,20.87,0.299,-97.89,2.55,None
multiply,45,IS,4,1534,7.4,2.29,-0.73,47.3,18.39,0.124,-99.8,1.44,None
multiply,45,OOS,1,575,11.1,6.46,1.41,52.5,20.9,0.309,-96.33,2.59,None
multiply,50,IS,4,1354,6.5,2.66,-0.7,47.6,18.92,0.141,-99.45,1.51,None
multiply,50,OOS,1,496,9.5,6.45,0.62,51.6,21.6,0.298,-97.19,2.53,None
multiply,60,IS,4,1080,5.2,2.53,-0.88,47.2,19.22,0.132,-98.72,1.47,None
multiply,60,OOS,1,380,7.3,6.09,0.39,50.3,21.68,0.281,-96.16,2.35,None
multiply,70,IS,4,883,4.2,2.53,-1.02,47.1,19.45,0.13,-98.59,1.47,None
multiply,70,OOS,1,298,5.7,5.57,0.3,49.7,21.49,0.259,-95.75,2.23,None
multiply,80,IS,4,719,3.5,2.42,-1.21,46.7,19.74,0.123,-98.94,1.44,None
multiply,80,OOS,1,231,4.4,6.63,0.39,50.6,22.74,0.292,-88.28,2.47,None
add,8,IS,4,7690,37.0,1.75,-0.29,48.6,15.88,0.11,-100.0,1.4,None
add,8,OOS,1,3015,58.0,4.42,1.11,51.4,17.53,0.252,-100.0,2.17,None
add,10,IS,4,4457,21.4,1.97,-0.59,47.8,17.42,0.113,-100.0,1.42,None
add,10,OOS,1,1799,34.6,5.24,1.11,51.6,19.53,0.268,-99.99,2.32,None
add,12,IS,4,2859,13.7,2.21,-0.66,47.8,18.34,0.121,-99.99,1.43,None
add,12,OOS,1,1162,22.3,5.71,1.43,52.1,20.2,0.283,-99.95,2.39,None
add,14,IS,4,1961,9.4,2.6,-0.68,47.7,19.73,0.132,-99.82,1.49,None
add,14,OOS,1,783,15.1,6.18,1.33,52.0,21.02,0.294,-99.24,2.44,None
add,16,IS,4,1405,6.8,2.88,-0.64,48.0,20.49,0.141,-99.73,1.52,None
add,16,OOS,1,570,11.0,5.92,0.44,50.0,22.09,0.268,-98.92,2.29,None
add,18,IS,4,1016,4.9,2.99,-0.88,48.0,20.94,0.143,-99.55,1.52,None
add,18,OOS,1,399,7.7,6.15,0.62,51.1,21.71,0.283,-95.96,2.37,None
add,20,IS,4,749,3.6,2.36,-1.49,46.1,21.18,0.111,-98.77,1.39,None
add,20,OOS,1,277,5.3,7.04,1.33,53.4,22.64,0.311,-91.36,2.58,None
add,22,IS,4,563,2.7,2.63,-1.51,46.2,21.83,0.121,-99.15,1.43,None
add,22,OOS,1,205,3.9,6.93,0.84,52.7,22.47,0.308,-86.57,2.43,None
add,25,IS,4,367,1.8,1.6,-2.81,42.5,22.32,0.072,-99.35,1.24,None
add,25,OOS,1,129,2.5,8.87,2.11,51.9,24.38,0.364,-81.88,2.78,None
weighted,12,IS,4,2859,13.7,2.21,-0.66,47.8,18.34,0.121,-99.99,1.43,"{'w1': 1.0, 'w2': 1.0}"
weighted,12,OOS,1,1162,22.3,5.71,1.43,52.1,20.2,0.283,-99.95,2.39,"{'w1': 1.0, 'w2': 1.0}"
weighted,15,IS,4,1630,7.8,2.51,-1.03,47.0,20.16,0.125,-99.95,1.45,"{'w1': 1.0, 'w2': 1.0}"
weighted,15,OOS,1,668,12.8,6.23,0.92,51.6,21.68,0.287,-98.9,2.39,"{'w1': 1.0, 'w2': 1.0}"
weighted,18,IS,4,1016,4.9,2.99,-0.88,48.0,20.94,0.143,-99.55,1.52,"{'w1': 1.0, 'w2': 1.0}"
weighted,18,OOS,1,399,7.7,6.15,0.62,51.1,21.71,0.283,-95.96,2.37,"{'w1': 1.0, 'w2': 1.0}"
