Date,Code,Year,Entry_Price,Return,Holding_Days,Exit_Reason
2023-07-21,100,2023,64124,-3.0,2,STOP_LOSS_3%
2024-07-05,100,2024,89500,-3.0,1,STOP_LOSS_3%
2024-08-23,100,2024,106600,17.823639774859288,10,MAX_DAYS
2024-08-28,100,2024,135500,-3.0,6,STOP_LOSS_3%
2023-08-04,120,2023,82500,-3.0,1,STOP_LOSS_3%
2021-06-07,150,2021,103000,-3.0,1,STOP_LOSS_3%
2021-09-01,150,2021,100000,-3.0,1,STOP_LOSS_3%
2021-11-04,150,2021,125500,13.545816733067728,10,MAX_DAYS
2022-09-20,150,2022,86700,-3.0,4,STOP_LOSS_3%
2023-07-31,150,2023,106500,-3.0,4,STOP_LOSS_3%
2023-09-11,150,2023,149100,-3.0,1,STOP_LOSS_3%
2024-03-07,150,2024,107900,39.57367933271548,10,MAX_DAYS
2024-03-13,150,2024,128600,16.56298600311042,10,MAX_DAYS
2021-06-07,155,2021,68500,-3.0,1,STOP_LOSS_3%
2022-09-15,155,2022,54000,-3.0,2,STOP_LOSS_3%
2022-09-20,155,2022,66900,-3.0,1,STOP_LOSS_3%
2023-07-31,155,2023,58200,-3.0,2,STOP_LOSS_3%
2023-09-11,155,2023,75200,-3.0,2,STOP_LOSS_3%
2024-07-09,155,2024,101000,7.920792079207921,10,MAX_DAYS
2021-02-03,240,2021,20600,4.368932038834951,10,MAX_DAYS
2023-08-18,240,2023,12400,-3.0,2,STOP_LOSS_3%
2024-09-09,240,2024,17930,-3.0,3,STOP_LOSS_3%
2024-12-17,240,2024,19990,-3.0,1,STOP_LOSS_3%
2021-08-02,250,2021,64600,-3.0,1,STOP_LOSS_3%
2022-11-29,250,2022,44550,2.4691358024691357,10,MAX_DAYS
2023-03-27,250,2023,78800,-3.0,1,STOP_LOSS_3%
2024-03-26,250,2024,140400,-3.0,1,STOP_LOSS_3%
2024-06-18,250,2024,141500,17.879858657243815,10,MAX_DAYS
2023-04-19,880,2023,30150,-3.0,2,STOP_LOSS_3%
2024-02-01,880,2024,30000,-3.0,3,STOP_LOSS_3%
2023-03-08,990,2023,53000,-3.0,1,STOP_LOSS_3%
2023-03-24,990,2023,56600,33.56890459363957,10,MAX_DAYS
2024-06-20,990,2024,57100,-3.0,1,STOP_LOSS_3%
2023-08-10,1040,2023,78400,-3.0,1,STOP_LOSS_3%
2024-03-15,1040,2024,109200,18.864468864468865,10,MAX_DAYS
2021-05-06,1430,2021,29200,9.58904109589041,10,MAX_DAYS
2021-05-11,1430,2021,34350,-3.0,1,STOP_LOSS_3%
2022-08-26,1430,2022,18050,-3.0,1,STOP_LOSS_3%
2021-05-28,1440,2021,14561,84.3486024311517,10,MAX_DAYS
2021-05-31,1440,2021,17586,-3.0,1,STOP_LOSS_3%
2021-06-03,1440,2021,21438,26.611624218677115,10,MAX_DAYS
2021-06-04,1440,2021,27833,-3.0,3,STOP_LOSS_3%
2021-11-11,1440,2021,16460,-3.0,1,STOP_LOSS_3%
2022-01-12,1440,2022,16115,-3.0,1,STOP_LOSS_3%
2022-03-31,1440,2022,16805,-3.0,6,STOP_LOSS_3%
2022-05-06,1440,2022,20075,-3.0,2,STOP_LOSS_3%
2022-11-01,1440,2022,15624,-3.0,2,STOP_LOSS_3%
2024-03-14,1440,2024,10260,-0.09746588693957114,10,MAX_DAYS
2024-05-13,1440,2024,18110,-3.0,1,STOP_LOSS_3%
2022-01-04,2380,2022,387500,-3.0,3,STOP_LOSS_3%
2024-05-03,2380,2024,280500,14.795008912655971,10,MAX_DAYS
2023-12-20,3380,2023,8800,-3.0,1,STOP_LOSS_3%
2021-06-08,3570,2021,11100,-3.0,1,STOP_LOSS_3%
2022-08-08,3570,2022,9120,-3.0,1,STOP_LOSS_3%
2022-08-26,3570,2022,12150,-3.0,1,STOP_LOSS_3%
2023-09-11,3570,2023,12310,-3.0,2,STOP_LOSS_3%
2024-09-20,3570,2024,25750,-3.0,1,STOP_LOSS_3%
2022-04-08,3670,2022,134734,-3.0,1,STOP_LOSS_3%
2022-07-28,3670,2022,131342,-3.0,1,STOP_LOSS_3%
2023-01-26,3670,2023,202102,16.307112250249876,10,MAX_DAYS
2023-03-07,3670,2023,252506,-3.0,2,STOP_LOSS_3%
2023-07-18,3670,2023,443946,11.13536330995211,10,MAX_DAYS
2024-09-02,3670,2024,238936,-3.0,1,STOP_LOSS_3%
2023-08-11,004370,2023,459000,-3.0,1,STOP_LOSS_3%
2021-07-14,004800,2021,93981,-3.0,4,STOP_LOSS_3%
2024-12-17,004800,2024,52200,-3.0,1,STOP_LOSS_3%
2024-12-17,004990,2024,24300,-3.0,2,STOP_LOSS_3%
2021-07-14,005070,2021,36994,10.14488836027464,10,MAX_DAYS
2021-07-19,005070,2021,42427,-3.0,1,STOP_LOSS_3%
2021-09-13,005070,2021,51367,-3.0,1,STOP_LOSS_3%
2022-04-21,005070,2022,57491,-3.0,2,STOP_LOSS_3%
2024-05-27,005070,2024,152800,-3.0,2,STOP_LOSS_3%
2021-12-21,005290,2021,42500,1.8823529411764703,10,MAX_DAYS
2023-05-19,005290,2023,35200,7.528409090909091,10,MAX_DAYS
2024-03-06,005290,2024,41500,-3.0,1,STOP_LOSS_3%
2024-03-21,005290,2024,47950,-3.0,1,STOP_LOSS_3%
2023-07-24,005490,2023,642000,-3.0,2,STOP_LOSS_3%
2021-10-08,005850,2021,32050,6.86427457098284,10,MAX_DAYS
2022-08-17,005850,2022,35600,-3.0,5,STOP_LOSS_3%
2024-01-16,006040,2024,35963,-3.0,1,STOP_LOSS_3%
2023-07-25,006260,2023,120100,-3.0,1,STOP_LOSS_3%
2024-07-10,006260,2024,156700,-3.0,2,STOP_LOSS_3%
2024-03-07,006400,2024,403361,10.558284018534266,10,MAX_DAYS
2023-08-01,006730,2023,8175,-3.0,1,STOP_LOSS_3%
2021-12-30,007340,2021,14381,-3.0,7,STOP_LOSS_3%
2022-11-09,007340,2022,13479,-3.0,2,STOP_LOSS_3%
2022-11-29,007340,2022,15082,-3.0,3,STOP_LOSS_3%
2021-05-11,7390,2021,12500,-3.0,1,STOP_LOSS_3%
2021-06-18,7390,2021,21500,38.139534883720934,10,MAX_DAYS
2021-06-22,7390,2021,27500,-3.0,1,STOP_LOSS_3%
