Date,Code,Year,Entry_Price,Return,Holding_Days,Exit_Reason
2025-07-17,100,2025,135800,-3.0,1,STOP_LOSS_3%
2025-10-17,150,2025,697000,36.15494978479197,10,MAX_DAYS
2025-05-29,240,2025,19890,-3.0,2,STOP_LOSS_3%
2025-11-10,240,2025,27700,-3.0,5,STOP_LOSS_3%
2025-07-23,250,2025,213500,-3.0,6,STOP_LOSS_3%
2025-09-22,250,2025,257000,-3.0,2,STOP_LOSS_3%
2025-10-24,720,2025,66600,-3.0,8,STOP_LOSS_3%
2025-02-12,880,2025,37700,12.86472148541114,10,MAX_DAYS
2025-02-13,880,2025,42150,-3.0,1,STOP_LOSS_3%
2025-05-27,880,2025,61800,52.58899676375405,10,MAX_DAYS
2025-06-04,880,2025,93400,-3.0,1,STOP_LOSS_3%
2025-02-07,990,2025,38900,19.408740359897173,10,MAX_DAYS
2025-11-10,990,2025,61800,-1.6181229773462782,10,MAX_DAYS
2025-11-11,990,2025,69100,-3.0,2,STOP_LOSS_3%
2025-03-14,1040,2025,127800,-3.0,3,STOP_LOSS_3%
2025-06-25,1430,2025,30100,-3.0,1,STOP_LOSS_3%
2025-12-08,1430,2025,31400,-3.0,1,STOP_LOSS_3%
2025-12-10,1430,2025,34950,34.47782546494993,10,MAX_DAYS
2025-12-12,1430,2025,44750,-3.0,2,STOP_LOSS_3%
2025-12-22,1430,2025,51300,-3.0,1,STOP_LOSS_3%
2025-10-13,1440,2025,18140,-3.0,1,STOP_LOSS_3%
2025-10-31,1440,2025,24200,-3.0,5,STOP_LOSS_3%
2025-03-12,1450,2025,24750,-3.0,1,STOP_LOSS_3%
2025-07-08,1720,2025,142000,-3.0,8,STOP_LOSS_3%
2025-12-11,3380,2025,11530,-3.0,3,STOP_LOSS_3%
2025-05-20,3570,2025,39300,20.35623409669211,10,MAX_DAYS
2025-07-18,3670,2025,156900,-3.0,2,STOP_LOSS_3%
2025-03-07,004020,2025,31850,-3.0,1,STOP_LOSS_3%
2025-07-03,004020,2025,35550,-3.0,1,STOP_LOSS_3%
2025-04-04,004170,2025,152500,-3.0,2,STOP_LOSS_3%
2025-09-11,004370,2025,488000,-3.0,4,STOP_LOSS_3%
2025-11-03,004800,2025,162400,-3.0,1,STOP_LOSS_3%
2025-07-09,004990,2025,35200,-3.0,1,STOP_LOSS_3%
2025-08-11,005070,2025,47300,-0.42283298097251587,10,MAX_DAYS
2025-10-14,005070,2025,46450,-3.0,1,STOP_LOSS_3%
2025-10-21,005070,2025,56800,-3.0,8,STOP_LOSS_3%
2025-12-05,005380,2025,315000,-3.0,2,STOP_LOSS_3%
2025-07-23,005850,2025,35700,-3.0,2,STOP_LOSS_3%
2025-03-13,006260,2025,121100,-3.0,6,STOP_LOSS_3%
2025-10-28,006400,2025,312000,-3.0,8,STOP_LOSS_3%
2025-09-04,006730,2025,10650,-3.0,1,STOP_LOSS_3%
2025-11-20,006730,2025,12480,-3.0,3,STOP_LOSS_3%
2025-12-11,006730,2025,14070,-3.0,1,STOP_LOSS_3%
2025-05-29,006800,2025,16560,-3.0,1,STOP_LOSS_3%
2025-06-04,006800,2025,17690,-3.0,1,STOP_LOSS_3%
2025-06-23,006800,2025,21550,-3.0,7,STOP_LOSS_3%
2025-12-18,006800,2025,22100,5.656108597285068,7,MAX_DAYS
2025-05-29,00680K,2025,6000,-3.0,1,STOP_LOSS_3%
2025-06-09,007070,2025,17650,-3.0,2,STOP_LOSS_3%
2025-04-16,7340,2025,24150,-3.0,1,STOP_LOSS_3%
2025-12-05,7340,2025,27900,-3.0,1,STOP_LOSS_3%
2025-03-27,7390,2025,29100,-3.0,1,STOP_LOSS_3%
2025-07-30,7390,2025,36900,-3.0,1,STOP_LOSS_3%
2025-08-11,7390,2025,23050,-3.0,1,STOP_LOSS_3%
2025-05-02,7660,2025,36700,10.490463215258854,10,MAX_DAYS
2025-02-14,7810,2025,13060,-3.0,6,STOP_LOSS_3%
2025-09-09,7810,2025,15130,18.902842035690682,10,MAX_DAYS
2025-11-12,7810,2025,28300,-3.0,1,STOP_LOSS_3%
2025-04-28,8770,2025,44100,-3.0,8,STOP_LOSS_3%
2025-06-17,8930,2025,43900,-3.0,2,STOP_LOSS_3%
2025-07-30,9150,2025,151900,-3.0,1,STOP_LOSS_3%
2025-07-17,9420,2025,29900,-3.0,2,STOP_LOSS_3%
2025-10-31,9420,2025,41400,-3.0,1,STOP_LOSS_3%
2025-02-19,9520,2025,14060,-3.0,5,STOP_LOSS_3%
2025-03-07,9520,2025,14710,-3.0,2,STOP_LOSS_3%
2025-07-18,9520,2025,13160,5.395136778115502,10,MAX_DAYS
2025-01-16,9830,2025,20650,-3.0,3,STOP_LOSS_3%
2025-04-24,9830,2025,27100,24.354243542435423,10,MAX_DAYS
2025-06-11,9830,2025,38250,-3.0,1,STOP_LOSS_3%
2025-11-06,9970,2025,156900,-3.0,1,STOP_LOSS_3%
2025-01-06,10060,2025,73000,-3.0,1,STOP_LOSS_3%
2025-01-10,10060,2025,79800,-3.0,1,STOP_LOSS_3%
2025-03-10,10130,2025,829000,-3.0,1,STOP_LOSS_3%
2025-03-12,10130,2025,1065000,-3.0,1,STOP_LOSS_3%
2025-10-14,10130,2025,1386000,-3.0,1,STOP_LOSS_3%
2025-02-19,10140,2025,14730,-3.0,1,STOP_LOSS_3%
2025-10-27,10140,2025,29100,-3.0,7,STOP_LOSS_3%
2025-02-13,11170,2025,59200,11.993243243243242,10,MAX_DAYS
2025-11-12,11170,2025,84800,-3.0,4,STOP_LOSS_3%
2025-01-08,11790,2025,135400,26.587887740029544,10,MAX_DAYS
2025-01-09,11790,2025,161600,-3.0,1,STOP_LOSS_3%
2025-06-17,11790,2025,104400,0.09578544061302681,10,MAX_DAYS
2025-02-06,12510,2025,88000,-3.0,1,STOP_LOSS_3%
2025-06-18,12510,2025,71200,-3.0,2,STOP_LOSS_3%
2025-06-05,14620,2025,34050,-3.0,2,STOP_LOSS_3%
2025-06-24,15760,2025,34100,13.343108504398826,10,MAX_DAYS
2025-06-26,15760,2025,40600,-3.0,1,STOP_LOSS_3%
2025-04-11,17800,2025,62800,14.490445859872612,10,MAX_DAYS
2025-06-16,18260,2025,166900,-3.0,1,STOP_LOSS_3%
2025-06-23,18260,2025,191800,-3.0,2,STOP_LOSS_3%
2025-10-17,18880,2025,3485,16.41319942611191,10,MAX_DAYS
2025-07-21,20150,2025,26450,-3.0,1,STOP_LOSS_3%
2025-11-10,20150,2025,32000,28.125,10,MAX_DAYS
2025-05-13,21240,2025,102800,-3.0,1,STOP_LOSS_3%
2025-02-19,22100,2025,24700,-3.0,1,STOP_LOSS_3%
2025-12-23,22100,2025,29750,-3.0,2,STOP_LOSS_3%
2025-12-12,23590,2025,41300,-3.0,2,STOP_LOSS_3%
2025-05-21,28260,2025,139000,21.510791366906474,10,MAX_DAYS
2025-12-02,28670,2025,4380,-3.0,1,STOP_LOSS_3%
2025-02-21,30530,2025,4340,-3.0,1,STOP_LOSS_3%
2025-04-10,30530,2025,3970,-3.0,1,STOP_LOSS_3%
2025-05-19,30530,2025,5310,-3.0,5,STOP_LOSS_3%
2025-06-04,30530,2025,6130,-3.0,1,STOP_LOSS_3%
2025-08-26,30530,2025,7540,49.602122015915114,10,MAX_DAYS
2025-09-09,30530,2025,11280,-3.0,4,STOP_LOSS_3%
2025-10-13,30530,2025,22700,-3.0,1,STOP_LOSS_3%
2025-12-04,30530,2025,27750,16.396396396396394,10,MAX_DAYS
2025-12-15,30530,2025,37500,-3.0,1,STOP_LOSS_3%
2025-05-29,32190,2025,16100,9.937888198757763,10,MAX_DAYS
2025-07-01,32190,2025,19810,-3.0,1,STOP_LOSS_3%
2025-05-16,32820,2025,2060,7.281553398058252,10,MAX_DAYS
2025-06-16,32820,2025,3380,47.928994082840234,10,MAX_DAYS
2025-01-17,33500,2025,18430,13.944655453065655,10,MAX_DAYS
2025-07-29,33500,2025,27950,-3.0,3,STOP_LOSS_3%
2025-02-14,34020,2025,27600,-3.0,1,STOP_LOSS_3%
2025-08-13,34220,2025,13290,-3.0,1,STOP_LOSS_3%
2025-05-28,34730,2025,156200,22.02304737516005,10,MAX_DAYS
2025-06-18,35420,2025,243500,3.4907597535934287,10,MAX_DAYS
2025-09-25,35420,2025,254000,2.559055118110236,10,MAX_DAYS
2025-06-09,35720,2025,51400,-3.0,1,STOP_LOSS_3%
2025-06-10,35760,2025,77300,-3.0,5,STOP_LOSS_3%
2025-03-05,36460,2025,40100,-3.0,2,STOP_LOSS_3%
2025-02-07,36540,2025,3650,-3.0,10,STOP_LOSS_3%
2025-07-03,36810,2025,21023,-3.0,1,STOP_LOSS_3%
2025-12-22,36810,2025,33816,-3.0,1,STOP_LOSS_3%
2025-06-04,36830,2025,35950,-3.0,3,STOP_LOSS_3%
2025-06-17,36830,2025,39050,-3.0,4,STOP_LOSS_3%
2025-07-16,36830,2025,45950,-3.0,1,STOP_LOSS_3%
2025-02-19,36930,2025,38900,-3.0,1,STOP_LOSS_3%
2025-11-04,39030,2025,293500,-3.0,1,STOP_LOSS_3%
2025-02-27,39200,2025,29700,-3.0,2,STOP_LOSS_3%
2025-08-27,39200,2025,37000,19.72972972972973,10,MAX_DAYS
2025-11-04,39200,2025,47050,-3.0,1,STOP_LOSS_3%
2025-02-03,42000,2025,46850,25.720384204909287,10,MAX_DAYS
2025-02-04,42000,2025,54200,-3.0,4,STOP_LOSS_3%
2025-02-26,42000,2025,68500,-3.0,1,STOP_LOSS_3%
2025-11-28,42000,2025,34750,-3.0,7,STOP_LOSS_3%
2025-01-08,42700,2025,115800,-3.0,2,STOP_LOSS_3%
2025-10-10,42700,2025,119100,-3.0,1,STOP_LOSS_3%
2025-10-13,42700,2025,128000,16.875,10,MAX_DAYS
2025-10-13,43260,2025,1277,47.141738449490994,10,MAX_DAYS
2025-10-14,43260,2025,1490,-3.0,1,STOP_LOSS_3%
2025-12-08,43260,2025,3860,105.69948186528497,10,MAX_DAYS
2025-12-10,43260,2025,6250,-3.0,1,STOP_LOSS_3%
2025-08-21,47040,2025,4155,-3.0,3,STOP_LOSS_3%
2025-03-05,47050,2025,61000,-3.0,1,STOP_LOSS_3%
2025-09-17,47810,2025,115000,-3.0,1,STOP_LOSS_3%
2025-02-11,48410,2025,7190,-3.0,1,STOP_LOSS_3%
2025-07-07,48410,2025,5345,-3.0,1,STOP_LOSS_3%
2025-08-28,48410,2025,6660,-3.0,1,STOP_LOSS_3%
2025-03-26,52400,2025,30700,-3.0,1,STOP_LOSS_3%
2025-06-05,52400,2025,71600,-3.0,2,STOP_LOSS_3%
2025-10-27,52400,2025,55600,-3.0,1,STOP_LOSS_3%
2025-06-12,52690,2025,89700,-3.0,1,STOP_LOSS_3%
2025-06-13,52690,2025,104100,-3.0,2,STOP_LOSS_3%
2025-08-21,52690,2025,100300,-3.0,3,STOP_LOSS_3%
2025-01-02,56080,2025,7620,-3.0,1,STOP_LOSS_3%
2025-05-12,56080,2025,9630,16.40706126687435,10,MAX_DAYS
2025-10-20,56080,2025,14260,-3.0,1,STOP_LOSS_3%
