Date,Code,Year,Entry_Price,Return,Holding_Days,Exit_Reason
2023-07-21,100,2023,64124,-3.1584898010105515,2,TRAIL_STOP_5%
2024-07-05,100,2024,89500,2.642458100558659,5,TRAIL_STOP_5%
2024-08-23,100,2024,106600,1.0600375234521575,1,TRAIL_STOP_5%
2024-08-28,100,2024,135500,2.011070110701107,1,TRAIL_STOP_5%
2023-08-04,120,2023,82500,-5.0,1,TRAIL_STOP_5%
2021-06-07,150,2021,103000,-5.0,1,TRAIL_STOP_5%
2021-09-01,150,2021,100000,-4.5249999999999995,1,TRAIL_STOP_5%
2021-11-04,150,2021,125500,1.8127490039840637,1,TRAIL_STOP_5%
2022-09-20,150,2022,86700,4.094579008073818,1,TRAIL_STOP_5%
2023-07-31,150,2023,106500,6.061032863849766,1,TRAIL_STOP_5%
2023-09-11,150,2023,149100,6.150234741784037,1,TRAIL_STOP_5%
2024-03-07,150,2024,107900,1.9555143651529192,1,TRAIL_STOP_5%
2024-03-13,150,2024,128600,-0.7892690513219284,1,TRAIL_STOP_5%
2021-06-07,155,2021,68500,-3.4744525547445253,1,TRAIL_STOP_5%
2022-09-15,155,2022,54000,13.12037037037037,1,TRAIL_STOP_5%
2022-09-20,155,2022,66900,-1.3079222720478325,1,TRAIL_STOP_5%
2023-07-31,155,2023,58200,2.1821305841924397,1,TRAIL_STOP_5%
2023-09-11,155,2023,75200,21.908244680851062,1,TRAIL_STOP_5%
2024-07-09,155,2024,101000,2.995049504950495,1,TRAIL_STOP_5%
2021-02-03,240,2021,20600,-0.15776699029126212,1,TRAIL_STOP_5%
2023-08-18,240,2023,12400,10.782258064516128,1,TRAIL_STOP_5%
2024-09-09,240,2024,17930,-3.0925822643614054,3,TRAIL_STOP_5%
2024-12-17,240,2024,19990,-5.0,1,TRAIL_STOP_5%
2021-08-02,250,2021,64600,-5.0,1,TRAIL_STOP_5%
2022-11-29,250,2022,44550,-0.8417508417508417,1,TRAIL_STOP_5%
2023-03-27,250,2023,78800,0.9073604060913706,1,TRAIL_STOP_5%
2024-03-26,250,2024,140400,-0.3311965811965812,1,TRAIL_STOP_5%
2024-06-18,250,2024,141500,10.575971731448764,1,TRAIL_STOP_5%
2023-04-19,880,2023,30150,-5.0,2,TRAIL_STOP_5%
2024-02-01,880,2024,30000,1.9666666666666666,1,TRAIL_STOP_5%
2023-03-08,990,2023,53000,-5.0,1,TRAIL_STOP_5%
2023-03-24,990,2023,56600,1.3780918727915195,1,TRAIL_STOP_5%
2024-06-20,990,2024,57100,-5.0,1,TRAIL_STOP_5%
2023-08-10,1040,2023,78400,-5.0,3,TRAIL_STOP_5%
2024-03-15,1040,2024,109200,0.045787545787545784,1,TRAIL_STOP_5%
2021-05-06,1430,2021,29200,0.5308219178082192,1,TRAIL_STOP_5%
2021-05-11,1430,2021,34350,-1.8195050946142648,1,TRAIL_STOP_5%
2022-08-26,1430,2022,18050,10.789473684210527,1,TRAIL_STOP_5%
2021-05-28,1440,2021,14561,20.88833184534029,1,TRAIL_STOP_5%
2021-05-31,1440,2021,17586,4.815478221312399,1,TRAIL_STOP_5%
2021-06-03,1440,2021,21438,23.338697639705188,1,TRAIL_STOP_5%
2021-06-04,1440,2021,27833,23.428663816333135,1,TRAIL_STOP_5%
2021-11-11,1440,2021,16460,-4.7402794653705955,1,TRAIL_STOP_5%
2022-01-12,1440,2022,16115,-3.455476264349987,1,TRAIL_STOP_5%
2022-03-31,1440,2022,16805,10.150252900922345,1,TRAIL_STOP_5%
2022-05-06,1440,2022,20075,0.3711083437110835,1,TRAIL_STOP_5%
2022-11-01,1440,2022,15624,-2.792818740399388,1,TRAIL_STOP_5%
2024-03-14,1440,2024,10260,-1.9444444444444444,1,TRAIL_STOP_5%
2024-05-13,1440,2024,18110,-2.74434014356709,1,TRAIL_STOP_5%
2022-01-04,2380,2022,387500,1.6193548387096772,2,TRAIL_STOP_5%
