Strategy,Signals,Avg_Return_20D,Win_Rate_20D,Median_20D,Std_20D,Period,Track,Duration,N_Investors,Description
Retail_BUY,1007,3.9951535228395083,47.666335650446875,-1.076923076923075,25.36297986535554,IS,A,1,1.0,
Retail_SELL,2872,2.127065651943606,44.60306406685237,-1.7972354047092576,22.0701160829352,IS,A,1,1.0,
Foreign_BUY,2763,2.3535373035177636,44.878754976474845,-1.7766497461928932,22.521400079595157,IS,A,1,1.0,
Foreign_SELL,1116,3.251996935718497,46.68458781362007,-1.4333393201167555,24.081560088497138,IS,A,1,1.0,
FinInvest_BUY,2225,2.1433695926279626,44.539325842696634,-1.929824561403504,22.21780273183202,IS,A,1,1.0,
FinInvest_SELL,1654,3.242475699083558,46.553808948004836,-1.3229456306944387,23.963029433735958,IS,A,1,1.0,
Pension_BUY,2301,1.9266064720257277,45.588874402433724,-1.6853932584269704,19.866765578292238,IS,A,1,1.0,
Pension_SELL,1578,3.61148964369469,45.12040557667934,-1.8130801621714654,26.859945837754097,IS,A,1,1.0,
Retail_BUY & Foreign_BUY,97,6.054852545313187,49.48453608247423,-1.0489510489510523,26.854022421089873,IS,A,1,2.0,
Retail_BUY & Foreign_SELL,910,3.77560318747693,47.47252747252747,-1.1080824451975169,25.204461187122664,IS,A,1,2.0,
Retail_SELL & Foreign_BUY,2666,2.2188682943451616,44.711177794448616,-1.792657975640849,22.342356300767428,IS,A,1,2.0,
Retail_SELL & Foreign_SELL,206,0.9389790274652267,43.203883495145625,-2.1363375770095283,18.186721551909006,IS,A,1,2.0,
Retail_BUY & FinInvest_BUY,399,3.239508337679271,46.365914786967416,-2.181208053691275,23.484672661464565,IS,A,1,2.0,
Retail_BUY & FinInvest_SELL,608,4.4910456756009145,48.51973684210527,-0.5248735438029561,26.530707404658177,IS,A,1,2.0,
Retail_SELL & FinInvest_BUY,1826,1.9038518712284709,44.14019715224535,-1.8372568431067493,21.930672386197294,IS,A,1,2.0,
Retail_SELL & FinInvest_SELL,1046,2.5167294794635273,45.41108986615679,-1.7711016746458363,22.316640276675955,IS,A,1,2.0,
Retail_BUY & Pension_BUY,421,2.9111029563202138,47.74346793349169,-1.1050537792839266,21.820286791578745,IS,A,1,2.0,
Retail_BUY & Pension_SELL,586,4.773968008342279,47.610921501706486,-1.0629370629370638,27.62130304309409,IS,A,1,2.0,
Retail_SELL & Pension_BUY,1880,1.7061420997448884,45.1063829787234,-1.752169636599754,19.40179585329215,IS,A,1,2.0,
Retail_SELL & Pension_SELL,992,2.9247836742556927,43.649193548387096,-1.9687856656567804,26.389914332424297,IS,A,1,2.0,
Foreign_BUY & FinInvest_BUY,1683,2.154643494513413,44.32560903149139,-1.8610421836228297,22.50413441048373,IS,A,1,2.0,
Foreign_BUY & FinInvest_SELL,1080,2.6634801558828753,45.74074074074074,-1.7328910375395354,22.555210634848134,IS,A,1,2.0,
Foreign_SELL & FinInvest_BUY,542,2.1083622552235104,45.20295202952029,-2.2041790595941246,21.324379055831,IS,A,1,2.0,
Foreign_SELL & FinInvest_SELL,574,4.331874978973345,48.08362369337979,-0.7477051460361595,26.395627471534816,IS,A,1,2.0,
Foreign_BUY & Pension_BUY,1719,1.7350653550390978,45.43339150668994,-1.6949152542372836,19.5407493475281,IS,A,1,2.0,
Foreign_BUY & Pension_SELL,1044,3.371883356616255,43.96551724137931,-1.9687856656567804,26.693472398147506,IS,A,1,2.0,
Foreign_SELL & Pension_BUY,582,2.4923438948779917,46.04810996563574,-1.5274626024971591,20.806926557514284,IS,A,1,2.0,
Foreign_SELL & Pension_SELL,534,4.0799333959603965,47.37827715355805,-1.0866873065015437,27.201538520280515,IS,A,1,2.0,
FinInvest_BUY & Pension_BUY,1427,1.7936747013478742,44.77925718290119,-1.7766497461928932,19.441675326962272,IS,A,1,2.0,
FinInvest_BUY & Pension_SELL,798,2.7687011839270688,44.11027568922306,-2.101229434562768,26.468194764974395,IS,A,1,2.0,
FinInvest_SELL & Pension_BUY,874,2.143647246347579,46.910755148741416,-1.4437409007926447,20.55136863945565,IS,A,1,2.0,
FinInvest_SELL & Pension_SELL,780,4.47372706791849,46.15384615384615,-1.2028819271259594,27.244905602456644,IS,A,1,2.0,
Retail_BUY & Foreign_BUY & FinInvest_SELL,80,3.8454118518642004,50.0,-0.15817515817516115,23.046901418509826,IS,A,1,3.0,
Retail_BUY & Foreign_SELL & FinInvest_BUY,382,2.65150805755965,46.33507853403142,-2.3299222365345207,22.41166112868661,IS,A,1,3.0,
Retail_BUY & Foreign_SELL & FinInvest_SELL,528,4.588868982227688,48.29545454545455,-0.5248735438029561,27.03761511742873,IS,A,1,3.0,
Retail_SELL & Foreign_BUY & FinInvest_BUY,1666,2.00874985145248,44.29771908763505,-1.8372568431067493,22.23645094476364,IS,A,1,3.0,
Retail_SELL & Foreign_BUY & FinInvest_SELL,1000,2.568925620204369,45.4,-1.7630422683386326,22.524494070540335,IS,A,1,3.0,
Retail_SELL & Foreign_SELL & FinInvest_BUY,160,0.8116016521459768,42.5,-1.9473061700096106,18.47266648105872,IS,A,1,3.0,
Retail_SELL & Foreign_SELL & FinInvest_SELL,46,1.3820307677060966,45.65217391304348,-2.6716940479396714,17.34388211243503,IS,A,1,3.0,
Retail_BUY & Foreign_BUY & Pension_SELL,74,7.337678515525471,47.2972972972973,-1.5231442518094607,27.781738898874895,IS,A,1,3.0,
Retail_BUY & Foreign_SELL & Pension_BUY,398,2.967944366493255,47.23618090452261,-1.2192723697148464,21.73671391392614,IS,A,1,3.0,
Retail_BUY & Foreign_SELL & Pension_SELL,512,4.403431724100958,47.65625,-0.9080061250723415,27.60561954532028,IS,A,1,3.0,
Retail_SELL & Foreign_BUY & Pension_BUY,1696,1.73245569490903,45.28301886792453,-1.7257925739625422,19.486464390432754,IS,A,1,3.0,
Retail_SELL & Foreign_BUY & Pension_SELL,970,3.069338158926274,43.71134020618557,-1.9687856656567804,26.59920971414062,IS,A,1,3.0,
Retail_SELL & Foreign_SELL & Pension_BUY,184,1.4635993964928005,43.47826086956522,-2.1363375770095283,18.6527200360039,IS,A,1,3.0,
Retail_SELL & Foreign_SELL & Pension_SELL,22,-3.4487549680381204,40.909090909090914,-2.0319370516084234,13.203312218485443,IS,A,1,3.0,
Retail_BUY & FinInvest_BUY & Pension_SELL,221,4.18210160532513,48.41628959276018,-1.4312719416689212,25.298899334983915,IS,A,1,3.0,
Retail_BUY & FinInvest_SELL & Pension_BUY,243,3.5277982413729787,50.617283950617285,0.3472222222222321,22.40615833424043,IS,A,1,3.0,
Retail_BUY & FinInvest_SELL & Pension_SELL,365,5.132330953730744,47.12328767123288,-1.0489510489510523,28.96501979642581,IS,A,1,3.0,
Retail_SELL & FinInvest_BUY & Pension_BUY,1249,1.7544070671467098,44.91593274619696,-1.6949152542372836,19.2137323469183,IS,A,1,3.0,
Retail_SELL & FinInvest_BUY & Pension_SELL,577,2.227346776424519,42.46100519930676,-2.1844660194174748,26.904293901999125,IS,A,1,3.0,
Retail_SELL & FinInvest_SELL & Pension_BUY,631,1.61060653035523,45.48335974643423,-1.7980636237897696,19.78381778326318,IS,A,1,3.0,
Retail_SELL & FinInvest_SELL & Pension_SELL,415,3.8944730478667466,45.30120481927711,-1.3812154696132617,25.658308916148435,IS,A,1,3.0,
Foreign_BUY & FinInvest_BUY & Pension_SELL,572,2.868425608461589,42.65734265734265,-2.1627287831809228,27.784728529073778,IS,A,1,3.0,
Foreign_BUY & FinInvest_SELL & Pension_BUY,608,1.6398878159311907,45.88815789473684,-1.752169636599754,20.107497891109126,IS,A,1,3.0,
Foreign_BUY & FinInvest_SELL & Pension_SELL,472,3.9820058819223334,45.55084745762712,-1.3332812566575314,25.32393632735222,IS,A,1,3.0,
Foreign_SELL & FinInvest_BUY & Pension_BUY,316,1.8166083721435786,43.35443037974683,-2.4672701768969016,20.191182545619174,IS,A,1,3.0,
Foreign_SELL & FinInvest_BUY & Pension_SELL,226,2.5163013129812914,47.78761061946903,-1.405291143248255,22.854471448644244,IS,A,1,3.0,
Foreign_SELL & FinInvest_SELL & Pension_BUY,266,3.295097373013609,49.24812030075188,-0.13492063492063222,21.526215793356783,IS,A,1,3.0,
Foreign_SELL & FinInvest_SELL & Pension_SELL,308,5.227273820484026,47.07792207792208,-0.9080061250723415,29.97815602804854,IS,A,1,3.0,
Retail_BUY & Foreign_BUY & FinInvest_SELL & Pension_SELL,57,4.619306340397225,47.368421052631575,-1.076923076923075,22.94028909992315,IS,A,1,4.0,
Retail_BUY & Foreign_SELL & FinInvest_BUY & Pension_SELL,204,3.159591696228483,48.529411764705884,-0.9839380022641286,23.59296115181004,IS,A,1,4.0,
Retail_BUY & Foreign_SELL & FinInvest_SELL & Pension_BUY,220,3.6951022086688163,50.0,0.0632511068943686,22.315212498706252,IS,A,1,4.0,
Retail_BUY & Foreign_SELL & FinInvest_SELL & Pension_SELL,308,5.227273820484026,47.07792207792208,-0.9080061250723415,29.97815602804854,IS,A,1,4.0,
Retail_SELL & Foreign_BUY & FinInvest_BUY & Pension_SELL,555,2.4523454041329487,42.52252252252252,-2.1844660194174748,27.288228295777266,IS,A,1,4.0,
Retail_SELL & Foreign_BUY & FinInvest_SELL & Pension_BUY,585,1.6285800091276403,45.47008547008547,-1.7964071856287456,19.976124344292572,IS,A,1,4.0,
Retail_SELL & Foreign_BUY & FinInvest_SELL & Pension_SELL,415,3.8944730478667466,45.30120481927711,-1.3812154696132617,25.658308916148435,IS,A,1,4.0,
Retail_SELL & Foreign_SELL & FinInvest_BUY & Pension_BUY,138,1.4907889394217024,42.7536231884058,-1.9473061700096106,19.129450747248576,IS,A,1,4.0,
Retail_SELL & Foreign_SELL & FinInvest_BUY & Pension_SELL,22,-3.4487549680381204,40.909090909090914,-2.0319370516084234,13.203312218485443,IS,A,1,4.0,
Retail_SELL & Foreign_SELL & FinInvest_SELL & Pension_BUY,46,1.3820307677060966,45.65217391304348,-2.6716940479396714,17.34388211243503,IS,A,1,4.0,
Retail_BUY,298,8.771069040942612,53.355704697986575,1.4998228555682447,30.86345708426823,OOS,A,1,1.0,
Retail_SELL,1071,8.561465630125431,56.209150326797385,2.7203482045701888,24.71811611109385,OOS,A,1,1.0,
Foreign_BUY,1020,8.303606567508012,55.490196078431374,2.574001334203535,24.72367656927679,OOS,A,1,1.0,
Foreign_SELL,349,9.49406752208327,55.873925501432666,2.2222222222222143,30.011016733279796,OOS,A,1,1.0,
FinInvest_BUY,758,8.656306147100713,55.54089709762533,2.6649057016063904,24.753270496577592,OOS,A,1,1.0,
FinInvest_SELL,611,8.546036341346799,55.646481178396066,2.368866328257191,27.841360502331113,OOS,A,1,1.0,
Pension_BUY,866,6.926922146680824,54.84988452655889,1.8190169002091694,23.597892590355688,OOS,A,1,1.0,
Pension_SELL,503,11.499788638249782,56.85884691848907,3.688092729188619,29.884728932471717,OOS,A,1,1.0,
Retail_BUY & Foreign_BUY,23,3.2917844187601064,47.82608695652174,-0.066312997347484,23.296331637533147,OOS,A,1,2.0,
Retail_BUY & Foreign_SELL,275,9.229336482070602,53.81818181818182,1.773049645390068,31.403899587569963,OOS,A,1,2.0,
Retail_SELL & Foreign_BUY,997,8.41922533322637,55.667001003009034,2.6604068857589924,24.75468511060772,OOS,A,1,2.0,
Retail_SELL & Foreign_SELL,74,10.477865305914138,63.51351351351351,5.933548611372874,24.30373788415391,OOS,A,1,2.0,
Retail_BUY & FinInvest_BUY,116,10.745030060985663,55.172413793103445,1.7664900888585189,30.5118792470122,OOS,A,1,2.0,
Retail_BUY & FinInvest_SELL,182,7.512940039156929,52.197802197802204,0.38961859055317566,31.103645535644986,OOS,A,1,2.0,
