Date,Open,High,Low,Close,Volume,Code,Name,Market,Volume_Ratio,Z_Score,Return_1D,Return_3D,Return_5D,Return_10D
2024-02-02,221500,228000,214000,227000,5844398,005380,현대차,KOSPI,6.592000389808383,6.613189857873624,4.845814977973569,7.929515418502203,9.691629955947137,6.607929515418502
2022-07-27,383000,397000,382500,393500,2624439,373220,LG에너지솔루션,KOSPI,6.1002119957198735,6.543218385720449,5.5908513341804325,6.607369758576874,11.054637865311308,16.39135959339263
2023-07-12,538000,539000,530000,534000,1969703,373220,LG에너지솔루션,KOSPI,5.3299290606653615,6.646003058556056,1.4981273408239701,0.7490636704119851,4.868913857677903,8.614232209737828
2022-07-29,55107,67739,54802,65601,10426643,012450,한화에어로스페이스,KOSPI,9.91456701540633,7.4693759989273945,0.15548543467325193,-2.48471822075883,-0.931388241032911,9.16144570966906
2023-07-27,142102,153816,125396,126619,3591339,012450,한화에어로스페이스,KOSPI,5.184872487059435,3.948741392841044,-7.080296006128623,-2.2532163419392037,-4.263973021426485,-7.723169508525577
2024-02-27,170216,192830,170114,182441,4043917,012450,한화에어로스페이스,KOSPI,5.237857221681962,5.874065736195713,8.598396193838008,4.745643797172785,13.903124845840573,2.233598807285643
2024-06-03,216973,248041,213407,227160,3114709,012450,한화에어로스페이스,KOSPI,6.471645880838492,3.7513145528183713,-5.381229089628456,-6.0534425074837115,-5.829371368198626,4.260433174854728
2022-05-17,121000,124500,119500,121500,2331766,329180,HD현대중공업,KOSPI,5.379189605587629,6.560356071501334,-3.7037037037037033,-5.349794238683128,-6.995884773662551,-2.05761316872428
2024-05-17,131100,133200,129100,130200,3652485,329180,HD현대중공업,KOSPI,8.649443881692171,7.362275342183935,-1.6129032258064515,-0.8448540706605223,2.9185867895545314,-1.1520737327188941
2024-11-07,183500,212500,183400,208500,1189865,329180,HD현대중공업,KOSPI,5.5723095043242985,6.375512095518428,0.4796163069544364,-1.4388489208633095,4.316546762589928,9.59232613908873
2022-08-31,20100,20550,20050,20350,52609426,034020,두산에너빌리티,KOSPI,5.718516907056874,6.727427975755575,-5.651105651105651,-7.125307125307126,-11.056511056511056,-13.513513513513514
2022-11-01,14350,16650,14000,15850,50186813,034020,두산에너빌리티,KOSPI,6.587416938016175,4.858367815966944,-9.14826498422713,-5.993690851735016,-1.5772870662460567,6.940063091482649
2023-03-09,17290,18320,17280,18140,25659871,034020,두산에너빌리티,KOSPI,5.029632150338696,6.619781892578734,-1.3781697905181918,-7.497243660418963,-4.299889746416759,-11.080485115766264
2024-03-11,15960,17290,15890,16720,22523304,034020,두산에너빌리티,KOSPI,6.589164745633019,7.13339147610258,1.8540669856459329,9.031100478468899,6.8181818181818175,3.4688995215311005
2024-05-27,20050,21750,19700,21300,69376008,034020,두산에너빌리티,KOSPI,9.296451179064334,6.919268168730696,2.3474178403755865,-3.286384976525822,-2.5821596244131455,-10.046948356807512
